Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary,Year,Month,Hour,Month_sin,Month_cos,Hour_sin,Hour_cos,Wind Bearing (degrees)_sin,Wind Bearing (degrees)_cos,Heavy_Cloud,New_Summary
Mostly Cloudy,rain,13.4277777777778,13.4277777777778,0.9,3.3488,71,11.9784,0,1012.8,Mostly cloudy throughout the day.,2006,4,23,0.866025403784439,-0.5,-2.44929359829471E-16,1,0.946636725477823,0.32230251314041,True,Heavy Cloud / Rain
Partly Cloudy,rain,11.5888888888889,11.5888888888889,0.74,5.474,139,14.9569,0,1009.9,Mostly cloudy throughout the day.,2006,4,0,0.866025403784439,-0.5,0,1,0.650944001011663,-0.759125752129993,False,Light Cloud
Mostly Cloudy,rain,14.4222222222222,14.4222222222222,0.83,10.7709,63,14.9086,0,1011.91,Mostly cloudy throughout the day.,2006,4,1,0.866025403784439,-0.5,0.269796771157024,0.962917287347799,0.892392840339721,0.451259369443345,True,Heavy Cloud / Rain
Partly Cloudy,rain,21.2277777777778,21.2277777777778,0.41,16.4703,156,11.27,0,1009.04,Mostly cloudy throughout the day.,2006,4,14,0.866025403784439,-0.5,-0.631087944326053,-0.77571129070442,0.399796536500279,-0.9166039108592,False,Light Cloud
Mostly Cloudy,rain,16.2611111111111,16.2611111111111,0.66,11.2861,122,9.9015,0,1008.94,Mostly cloudy throughout the day.,2006,4,18,0.866025403784439,-0.5,-0.979084087682323,0.203456013052633,0.844890139367523,-0.534939858675279,True,Heavy Cloud / Rain
Partly Cloudy,rain,12.3166666666667,12.3166666666667,0.65,11.1734,139,15.8263,0,1009.56,Mostly cloudy until night.,2006,4,22,0.866025403784439,-0.5,-0.269796771157025,0.962917287347799,0.650944001011663,-0.759125752129993,False,Light Cloud
Mostly Cloudy,rain,10.8277777777778,10.8277777777778,0.62,13.1859,142,14.9569,0,1011.18,Mostly cloudy until night.,2006,4,0,0.866025403784439,-0.5,0,1,0.610206791305022,-0.792242180046751,True,Heavy Cloud / Rain
Partly Cloudy,rain,12.5444444444444,12.5444444444444,0.78,7.2611,159,9.5312,0,1014.44,Partly cloudy until night.,2006,4,7,0.866025403784439,-0.5,0.94226092211882,-0.334879612170986,0.351140728851688,-0.93632269466328,False,Light Cloud
Partly Cloudy,rain,13.8611111111111,13.8611111111111,0.77,3.8801,245,11.1251,0,1014.52,Partly cloudy until night.,2006,4,8,0.866025403784439,-0.5,0.816969893010442,-0.576680322114867,-0.911277193868751,-0.411793486998878,False,Light Cloud
Mostly Cloudy,rain,15.2277777777778,15.2277777777778,0.51,20.3665,147,11.2056,0,1013.34,Mostly cloudy throughout the day.,2006,4,10,0.866025403784439,-0.5,0.398401089846241,-0.917211301505453,0.538631523798678,-0.842541442049181,True,Heavy Cloud / Rain
Mostly Cloudy,rain,15.0222222222222,15.0222222222222,0.45,20.9139,168,9.982,0,1012.98,Mostly cloudy throughout the day.,2006,4,17,0.866025403784439,-0.5,-0.997668769190539,-0.068242413364671,0.199915768115068,-0.979813087103332,True,Heavy Cloud / Rain
Mostly Cloudy,rain,13.9277777777778,13.9277777777778,0.47,13.3469,166,10.3523,0,1013.73,Mostly cloudy throughout the day.,2006,4,18,0.866025403784439,-0.5,-0.979084087682323,0.203456013052633,0.234083500898231,-0.972216495749392,True,Heavy Cloud / Rain
Mostly Cloudy,rain,12.2944444444444,12.2944444444444,0.59,6.7781,152,15.8263,0,1014.46,Mostly cloudy throughout the day.,2006,4,20,0.866025403784439,-0.5,-0.730835964278124,0.682553143218654,0.462934090562797,-0.886392705179141,True,Heavy Cloud / Rain
Partly Cloudy,rain,9.53333333333333,8.67777777777778,0.76,7.084,310,15.8263,0,1013.49,Mostly cloudy until evening.,2006,4,22,0.866025403784439,-0.5,-0.269796771157025,0.962917287347799,-0.756270303917195,0.654259296772306,False,Light Cloud
Partly Cloudy,rain,7.38333333333333,4.75555555555556,0.82,14.6188,319,15.8263,0,1012.8,Mostly cloudy until evening.,2006,4,2,0.866025403784439,-0.5,0.519583950035434,0.854419404546488,-0.644276086679062,0.764792994302062,False,Light Cloud
Mostly Cloudy,rain,8.79444444444444,5.55555555555555,0.84,23.3289,320,10.948,0,1013.64,Mostly cloudy until evening.,2006,4,5,0.866025403784439,-0.5,0.979084087682323,0.203456013052634,-0.630792758907189,0.775951348545936,True,Heavy Cloud / Rain
Overcast,rain,7.88888888888889,4.08888888888889,0.89,26.8387,330,11.2056,0,1014.12,Mostly cloudy until evening.,2006,4,6,0.866025403784439,-0.5,0.997668769190539,-0.068242413364671,-0.486042243329636,0.87393531665627,True,Heavy Cloud / Rain
Overcast,rain,10.2277777777778,10.2277777777778,0.81,11.3183,291,11.27,0,1015.69,Mostly cloudy until evening.,2006,4,11,0.866025403784439,-0.5,0.136166649096247,-0.990685946036331,-0.928417203661959,0.371539359886012,True,Heavy Cloud / Rain
Partly Cloudy,rain,12.55,12.55,0.62,6.4078,211,11.3988,0,1014.73,Mostly cloudy until evening.,2006,4,15,0.866025403784439,-0.5,-0.816969893010442,-0.576680322114867,-0.523803699183509,-0.851839001643898,False,Light Cloud
Mostly Cloudy,rain,14.9777777777778,14.9777777777778,0.51,23.9568,170,11.2056,0,1010.87,Foggy in the morning.,2006,4,11,0.866025403784439,-0.5,0.136166649096247,-0.990685946036331,0.165503110095191,-0.986209268131677,True,Heavy Cloud / Rain
Mostly Cloudy,rain,15.0444444444444,15.0444444444444,0.54,20.8817,160,9.982,0,1007.74,Foggy in the morning.,2006,4,14,0.866025403784439,-0.5,-0.631087944326053,-0.77571129070442,0.334700352146561,-0.942324611942704,True,Heavy Cloud / Rain
Overcast,rain,12.9166666666667,12.9166666666667,0.64,11.6886,130,9.982,0,1005.19,Foggy in the morning.,2006,4,18,0.866025403784439,-0.5,-0.979084087682323,0.203456013052633,0.761966667054504,-0.647616243077527,True,Heavy Cloud / Rain
Overcast,rain,5.03333333333334,1.81666666666667,0.93,14.9408,6,7.3738,0,1013.23,Overcast throughout the day.,2006,4,18,0.866025403784439,-0.5,-0.979084087682323,0.203456013052633,0.104818559343901,0.99449136226368,True,Heavy Cloud / Rain
Overcast,rain,4.46666666666667,1.27777777777778,0.92,13.9748,301,9.9015,0,1013.9,Mostly cloudy until evening.,2006,4,22,0.866025403784439,-0.5,-0.269796771157025,0.962917287347799,-0.849538963665218,0.52752587539819,True,Heavy Cloud / Rain
Partly Cloudy,rain,11.0611111111111,11.0611111111111,0.46,14.2646,337,11.2056,0,1015.24,Mostly cloudy until evening.,2006,4,13,0.866025403784439,-0.5,-0.398401089846242,-0.917211301505453,-0.375598058743986,0.926782659671484,False,Light Cloud
Partly Cloudy,rain,11.0111111111111,11.0111111111111,0.42,9.3541,312,11.3988,0,1015.13,Mostly cloudy until evening.,2006,4,15,0.866025403784439,-0.5,-0.816969893010442,-0.576680322114867,-0.732910137808237,0.680325458804763,False,Light Cloud
Partly Cloudy,rain,12.9166666666667,12.9166666666667,0.4,9.4829,218,9.982,0,1017.58,Partly cloudy starting in the morning continuing until evening.,2006,4,13,0.866025403784439,-0.5,-0.398401089846242,-0.917211301505453,-0.623978378003837,-0.781441606125308,False,Light Cloud
Clear,rain,10.2055555555556,10.2055555555556,0.57,9.8371,187,9.982,0,1017.45,Partly cloudy starting in the morning continuing until evening.,2006,4,17,0.866025403784439,-0.5,-0.997668769190539,-0.068242413364671,-0.130887687236906,-0.991397202603363,False,Clear
Clear,rain,6.01666666666667,4.78333333333333,0.74,6.4078,163,15.8263,0,1018.39,Partly cloudy starting in the afternoon.,2006,4,22,0.866025403784439,-0.5,-0.269796771157025,0.962917287347799,0.284784390461447,-0.958591597579231,False,Clear
Partly Cloudy,rain,13.9833333333333,13.9833333333333,0.5,20.6241,151,9.982,0,1017.86,Partly cloudy starting in the afternoon.,2006,4,10,0.866025403784439,-0.5,0.398401089846241,-0.917211301505453,0.478375962530946,-0.87815513348872,False,Light Cloud
Mostly Cloudy,rain,17.2888888888889,17.2888888888889,0.38,16.2288,159,9.982,0,1015.06,Partly cloudy starting in the afternoon.,2006,4,14,0.866025403784439,-0.5,-0.631087944326053,-0.77571129070442,0.351140728851688,-0.93632269466328,True,Heavy Cloud / Rain
Partly Cloudy,rain,15.0888888888889,15.0888888888889,0.44,9.7083,158,9.982,0,1014.16,Partly cloudy starting in the afternoon.,2006,4,17,0.866025403784439,-0.5,-0.997668769190539,-0.068242413364671,0.367473547992272,-0.930033973318164,False,Light Cloud
Mostly Cloudy,rain,32.0111111111111,32.5111111111111,0.41,8.9194,210,10.3523,0,1007.57,Partly cloudy starting overnight.,2006,8,15,-0.866025403784438,-0.5,-0.816969893010442,-0.576680322114867,-0.508815428782493,-0.860875635288215,True,Heavy Cloud / Rain
Mostly Cloudy,rain,27.0944444444444,28.15,0.59,6.2307,55,10.2718,0,1007.03,Partly cloudy starting overnight.,2006,8,18,-0.866025403784438,-0.5,-0.979084087682323,0.203456013052633,0.820682801707206,0.571384055589593,True,Heavy Cloud / Rain
Partly Cloudy,rain,15.4944444444444,15.4944444444444,0.87,3.3649,280,15.8263,0,1011.34,Mostly cloudy until night.,2006,8,23,-0.866025403784438,-0.5,-2.44929359829471E-16,1,-0.982352781163204,0.187037465072958,False,Light Cloud
Partly Cloudy,rain,14.9666666666667,14.9666666666667,0.87,4.508,322,9.6761,0,1010.85,Mostly cloudy until night.,2006,8,5,-0.866025403784438,-0.5,0.979084087682323,0.203456013052634,-0.603250640119977,0.797551669294747,False,Light Cloud
Mostly Cloudy,rain,16.2611111111111,16.2611111111111,0.87,8.6135,348,9.7083,0,1010.89,Mostly cloudy until night.,2006,8,6,-0.866025403784438,-0.5,0.997668769190539,-0.068242413364671,-0.191333923192565,0.981525002145,True,Heavy Cloud / Rain
Foggy,rain,16.25,16.25,0.92,9.3058,341,0.9982,0,1010.93,Mostly cloudy until night.,2006,8,7,-0.866025403784438,-0.5,0.94226092211882,-0.334879612170986,-0.309849141174302,0.95078573280921,True,Heavy Cloud / Rain
Mostly Cloudy,rain,22.5055555555556,22.5055555555556,0.68,11.27,340,11.1251,0,1007.66,Mostly cloudy until night.,2006,8,17,-0.866025403784438,-0.5,-0.997668769190539,-0.068242413364671,-0.32644140216099,0.945217441097638,True,Heavy Cloud / Rain
